origin,destination,trips
zone_13,zone_14,791
zone_14,zone_13,778
zone_19,zone_14,260
zone_19,zone_13,242
zone_14,zone_19,222
zone_14,zone_18,219
zone_13,zone_18,208
zone_13,zone_19,203
zone_18,zone_14,203
zone_18,zone_13,194
zone_27,zone_14,169
zone_14,zone_27,162
zone_14,zone_3,158
zone_13,zone_3,158
zone_13,zone_27,155
zone_27,zone_13,154
zone_3,zone_13,153
zone_3,zone_14,151
zone_14,zone_28,143
zone_28,zone_14,137
zone_28,zone_13,128
zone_13,zone_28,126
zone_16,zone_13,111
zone_13,zone_16,109
zone_23,zone_13,91
zone_23,zone_14,91
zone_13,zone_23,88
zone_23,zone_28,84
zone_14,zone_23,82
zone_14,zone_16,80
zone_28,zone_23,79
zone_16,zone_14,77
zone_14,zone_20,73
zone_19,zone_18,68
zone_13,zone_20,66
zone_18,zone_19,61
zone_20,zone_13,52
zone_20,zone_14,50
zone_19,zone_3,50
zone_19,zone_27,50
zone_2,zone_14,46
zone_27,zone_18,46
zone_27,zone_19,44
zone_18,zone_27,44
zone_3,zone_19,43
zone_11,zone_13,41
zone_18,zone_28,41
zone_13,zone_11,40
zone_28,zone_18,40
zone_14,zone_2,40
zone_18,zone_16,35
zone_16,zone_19,34
zone_16,zone_18,34
zone_19,zone_16,32
zone_11,zone_14,32
zone_14,zone_11,31
zone_19,zone_28,30
zone_3,zone_18,28
zone_18,zone_3,27
zone_10,zone_14,27
zone_28,zone_19,26
zone_14,zone_10,26
zone_13,zone_10,25
zone_2,zone_13,25
zone_13,zone_2,25
zone_19,zone_23,24
zone_10,zone_13,23
zone_23,zone_18,22
zone_13,zone_15,20
zone_15,zone_13,19
zone_8,zone_13,19
zone_18,zone_20,18
zone_18,zone_23,18
zone_13,zone_8,17
zone_8,zone_14,17
zone_20,zone_18,17
zone_19,zone_20,16
zone_23,zone_19,15
zone_20,zone_19,14
zone_27,zone_28,14
zone_28,zone_27,14
zone_15,zone_14,14
zone_14,zone_8,13
zone_19,zone_2,12
zone_19,zone_11,11
zone_2,zone_19,11
zone_7,zone_13,10
zone_13,zone_7,10
zone_11,zone_19,10
zone_2,zone_18,10
zone_18,zone_11,9
zone_14,zone_15,9
zone_11,zone_18,8
zone_10,zone_18,7
zone_18,zone_2,7
zone_8,zone_19,6
zone_18,zone_10,6
zone_10,zone_19,5
zone_19,zone_10,5
zone_18,zone_15,4
zone_7,zone_14,4
zone_8,zone_18,4
zone_15,zone_18,4
zone_17,zone_14,4
zone_14,zone_17,4
zone_19,zone_8,3
zone_19,zone_15,3
zone_14,zone_7,3
zone_19,zone_7,3
zone_18,zone_8,2
zone_7,zone_19,2
zone_15,zone_19,2
zone_18,zone_7,2
zone_7,zone_18,1
zone_17,zone_13,1
zone_13,zone_17,1
