person,start_time,end_time,duration,start_link,end_link,start_act,end_act,mode
438,16619.0,17135.0,516.0,1677780937_939494606_0,1514318083_1642150417_0,h,w,car
438,51749.0,52251.0,502.0,1514318083_1642150417_0,1677780937_939494606_0,w,h,car
4543,17192.0,17313.0,121.0,1424448488_461705303_0,356504_465228067_0,h,w,car
4543,45701.0,45827.0,126.0,356504_465228067_0,1424448488_461705303_0,w,h,car
4700,17273.0,17419.0,146.0,1138250104_875779514_0,354258_354255_0,h,w,car
4700,47583.0,47767.0,184.0,354258_354255_0,1138250104_875779514_0,w,h,car
2283,17162.0,17427.0,265.0,1107715754_1514285654_0,1677780983_330142431_0,h,w,car
2283,48753.0,49087.0,334.0,1677780983_330142431_0,1107715754_1514285654_0,w,h,car
1513,17053.0,17984.0,931.0,351202323_351205174_0,354164_11934030080_0,h,w,bus
1513,43354.0,44285.0,931.0,354164_11934030080_0,351202323_351205174_0,w,h,bus
1582,17766.0,18171.0,405.0,1107715754_1514285654_0,1249273511_2070090_0,h,w,car
1582,46433.0,46924.0,491.0,1249273511_2070090_0,1107715754_1514285654_0,w,h,car
3101,18245.0,18413.0,168.0,72207490_72212026_0,1505363752_1505363732_0,h,w,car
3101,49913.0,50104.0,191.0,1505363752_1505363732_0,72207490_72212026_0,w,h,car
4494,18404.0,18493.0,89.0,1200319828_1200319893_0,1200319752_1200321856_0,h,w,car
4494,45493.0,45582.0,89.0,1200319752_1200321856_0,1200319828_1200319893_0,w,h,car
3453,18468.0,18570.0,102.0,1855627021_478066290_0,356520_4923664437_0,h,w,car
3453,51870.0,51967.0,97.0,356520_4923664437_0,1855627021_478066290_0,w,h,car
3610,18082.0,18588.0,506.0,364688194_364688195_0,1514360059_1515328691_0,h,w,walk
3610,44688.0,45194.0,506.0,1514360059_1515328691_0,364688194_364688195_0,w,h,walk
4016,18486.0,18678.0,192.0,5266244025_7111328403_0,1200320966_1200321228_0,h,w,car
4016,46578.0,46794.0,216.0,1200320966_1200321228_0,5266244025_7111328403_0,w,h,car
3322,18513.0,18679.0,166.0,1330196763_1514173130_0,5075657_5075659_0,h,w,car
3322,53245.0,53419.0,174.0,5075657_5075659_0,1330196763_1514173130_0,w,h,car
